Firmware Name,Binary Name,Component Name,Component Version,CVE ID,Description,CVSS v3 Score,CVSS v3 Severity,CVSS v2 Score,CVSS v2 Severity
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2000-1219,"The -ftrapv compiler option in gcc and g++ 3.3.3 and earlier does not handle all types of integer overflows, which may leave applications vulnerable to vulnerabilities related to overflows.",,,7.5,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2006-0742,"The die_if_kernel function in arch/ia64/kernel/unaligned.c in Linux kernel 2.6.x before 2.6.15.6, possibly when compiled with certain versions of gcc, has the ""noreturn"" attribute set, which allows local users to cause a denial of service by causing user faults on Itanium systems.",,,4.6,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2006-1542,"Stack-based buffer overflow in Python 2.4.2 and earlier, running on Linux 2.6.12.5 under gcc 4.0.3 with libc 2.3.5, allows local users to cause a ""stack overflow,"" and possibly gain privileges, by running a script from a current working directory that has a long name, related to the realpath function.  NOTE: this might not be a vulnerability. However, the fact that it appears in a programming language interpreter could mean that some applications are affected, although attack scenarios might be limited because the attacker might already need to cross privilege boundaries to cause an exploitable program to be placed in a directory with a long name; or, depending on the method that Python uses to determine the current working directory, setuid applications might be affected.",,,3.7,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2006-3619,"Directory traversal vulnerability in FastJar 0.93, as used in Gnu GCC 4.1.1 and earlier, and 3.4.6 and earlier, allows user-assisted attackers to overwrite arbitrary files via a .jar file containing filenames with ""../"" sequences.",,,2.6,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2008-1685,"gcc 4.2.0 through 4.3.0 in GNU Compiler Collection, when casts are not used, considers the sum of a pointer and an int to be greater than or equal to the pointer, which might lead to removal of length testing code that was intended as a protection mechanism against integer overflow and buffer overflow attacks, and provide no diagnostic message about this removal. NOTE: the vendor has determined that this compiler behavior is correct according to section 6.5.6 of the C99 standard (aka ISO/IEC 9899:1999)",,,6.8,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2010-2195,"bozotic HTTP server (aka bozohttpd) 20090522 through 20100512 allows attackers to cause a denial of service via vectors related to a ""wrong code generation interaction with GCC.""",,,5.0,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2014-0892,"IBM Notes and Domino 8.5.x before 8.5.3 FP6 IF3 and 9.x before 9.0.1 FP1 on 32-bit Linux platforms use incorrect gcc options, which makes it easier for remote attackers to execute arbitrary code by leveraging the absence of the NX protection mechanism and placing crafted x86 code on the stack, aka SPR KLYH9GGS9W.",,,5.0,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2015-5276,"The std::random_device class in libstdc++ in the GNU Compiler Collection (aka GCC) before 4.9.4 does not properly handle short reads from blocking sources, which makes it easier for context-dependent attackers to predict the random values via unspecified vectors.",,,5.0,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2014-9799,"The makefile in the Qualcomm components in Android before 2016-07-05 on Nexus 5 and 7 (2013) devices omits the -fno-strict-overflow option to gcc, which might allow attackers to gain privileges via a crafted application that leverages incorrect compiler optimization of an integer-overflow protection mechanism, aka Android internal bug 28821731 and Qualcomm internal bug CR691916.",7.8,HIGH,9.3,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2018-6574,"Go before 1.8.7, Go 1.9.x before 1.9.4, and Go 1.10 pre-releases before Go 1.10rc2 allow ""go get"" remote command execution during source code build, by leveraging the gcc or clang plugin feature, because -fplugin= and -plugin= arguments were not blocked.",7.8,HIGH,4.6,
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease,CVE-2002-2439,Integer overflow in the new[] operator in gcc before 4.8.0 allows attackers to have unspecified impacts.,7.8,HIGH,4.6,
