Source,Target,Relation,Label,Color
6tunnel,mDNSResponderPosix,setsockopt/bind,);,#fbfb83
6tunnel,mDNSResponderPosix,write/read,param_1,#fbfb83
6tunnel,mDNSResponderPosix,write/openlog,param_1,#fbfb83
6tunnel,mDNSResponderPosix,write/fopen,param_1,#fbfb83
mDNSResponderPosix,6tunnel,socket/listen,);,#fbfb83
mDNSResponderPosix,6tunnel,socket/bind,);,#fbfb83
proxy,ntfs-3g,write/read,*param_1,#ec6ad1
clink,disktype,write/open64,param_1,#1bc2dc
clink,disktype,write/lseek64,param_1,#1bc2dc
miniupnpd,pppListener,setsockopt/bind,__fd,#fb995d
clink,bulkUpgrade,write/fopen,param_1,#1b331b
rdnssd,smbd,setsockopt/bind,__fd,#7c998b
rdnssd,smbd,setsockopt/connect,__fd,#7c998b
switch,routed,socket/bind,);,#67bd22
wscd,dhcp_discover,setsockopt/bind,__fd,#723488
rdnssd,miniupnpd,setsockopt/bind,__fd,#a7f7cc
rdnssd,miniupnpd,setsockopt/listen,__fd,#a7f7cc
rdnssd,miniupnpd,socket/connect,,#a7f7cc
pppoe-discovery,mpd,socket/bind,);,#caaf9f
pppoe-discovery,mpd,setsockopt/bind,);,#caaf9f
miniupnpd,mini_httpd,setsockopt/listen,__fd,#bdd4d8
mini_httpd,miniupnpd,setsockopt/bind,__fd,#bdd4d8
mini_httpd,miniupnpd,setsockopt/listen,__fd,#bdd4d8
miniupnpd,mini_httpd,setsockopt/bind,__fd,#bdd4d8
clink,igmpproxy,write/fopen,param_1,#3325d1
wscd,igmpproxy,setsockopt/connect,__fd,#fb8972
igmpproxy,wscd,fputc/fread,__stream,#fb8972
mpd,6tunnel,socket/listen,);,#15739d
mpd,6tunnel,socket/bind,);,#15739d
6tunnel,mpd,setsockopt/bind,);,#15739d
set_factory,ntfs-3g,write/read,__fd,#1dbcc4
lanmapd,disktype,write/read,__fd,#9d2990
lanmapd,disktype,write/lseek64,__fd,#9d2990
smbd,dhcp_discover,setsockopt/bind,__fd,#f4c242
smbd,dhcp_discover,write/read,__fd,#f4c242
jcpd,disktype,write/read,__fd,#d37a53
jcpd,disktype,write/lseek64,__fd,#d37a53
6tunnel,pppListener,write/read,__fd,#72768a
clink,sxstoragemanager,write/fopen,param_1,#315df8
clink,sxstoragemanager,write/open,param_1,#315df8
igmpproxy,miniupnpd,fputc/fread,__stream,#5b8df4
miniupnpd,igmpproxy,setsockopt/connect,__fd,#5b8df4
6tunnel,disktype,write/open64,param_1,#3dd447
6tunnel,disktype,write/lseek64,__fd,#3dd447
6tunnel,disktype,write/read,__fd,#3dd447
6tunnel,disktype,write/lseek64,param_1,#3dd447
rdnssd,igmpproxy,setsockopt/connect,__fd,#7b1896
jcpd,clink,setsockopt/bind,param_1,#fb549c
clink,jcpd,write/fopen,param_1,#fb549c
clink,jcpd,write/open,param_1,#fb549c
drws,bulkUpgrade,fwrite/fread,pFVar2,#d8c334
bulkUpgrade,drws,fwrite/fopen64,__s,#d8c334
drws,bulkUpgrade,fwrite/fopen,param_2,#d8c334
smbd,ntfs-3g,write/read,__fd,#ec96a7
smbd,ntfs-3g,write/read,*param_1,#ec96a7
smbd,ntfs-3g,write/read,iVar2,#ec96a7
smbd,iwevent,setsockopt/getsockname,__fd,#c9bb08
smbd,iwevent,setsockopt/bind,__fd,#c9bb08
mldproxy,mini_httpd,socket/accept,;,#aae24a
mldproxy,mini_httpd,socket/listen,;,#aae24a
mldproxy,mini_httpd,socket/bind,;,#aae24a
ntpclient,rt2860apd,socket/bind,);,#7fd4f7
rt2860apd,ntpclient,socket/connect,);,#7fd4f7
rt2860apd,ntpclient,socket/bind,);,#7fd4f7
signalc,sxstoragemanager,fputc/fread,__stream,#163cb4
rdnssd,lanmapd,setsockopt/listen,__fd,#65c4c2
rdnssd,lanmapd,setsockopt/bind,__fd,#65c4c2
rdnssd,lanmapd,setsockopt/accept,__fd,#65c4c2
6tunnel,igmpproxy,write/fopen,param_1,#6d509e
jcpd,dhcp_discover,write/read,__fd,#d26d5d
proxy,usbstorage.hotplug,write/fopen,param_1,#0fc453
proxy,usbstorage.hotplug,write/open,param_1,#0fc453
proxy,drws,write/fopen64,param_1,#fc098f
ult,6tunnel,socket/listen,);,#c0c948
ult,6tunnel,socket/bind,);,#c0c948
ult,bulkagent,socket/connect,);,#4183af
mpd,routed,socket/bind,);,#ad14a0
6tunnel,mini_httpd,write/read,param_1,#1b96b4
6tunnel,mini_httpd,write/fopen64,param_1,#1b96b4
mini_httpd,6tunnel,socket/accept,;,#1b96b4
mini_httpd,6tunnel,setsockopt/connect,__fd,#1b96b4
mini_httpd,6tunnel,setsockopt/bind,__fd,#1b96b4
mini_httpd,6tunnel,setsockopt/shutdown,__fd,#1b96b4
jcpd,smbd,write/read,__fd,#23692b
jcpd,smbd,write/lseek64,__fd,#23692b
clink,smbd,write/read,param_1,#c08b73
smbd,clink,setsockopt/bind,param_1,#c08b73
clink,smbd,write/open64,param_1,#c08b73
radvd,mDNSResponderPosix,setsockopt/bind,__fd,#a4a413
lanmapd,pppListener,write/read,__fd,#4b5f15
lanmapd,pppListener,setsockopt/bind,__fd,#4b5f15
routed,ated,socket/bind,;,#a8316b
ated,routed,socket/bind,);,#a8316b
smbd,resetd,write/read,iVar1,#38e1e5
mldproxy,iwevent,socket/getsockname,;,#c0a168
wscd,noip2,setsockopt/connect,__fd,#5129ba
noip2,wscd,write/fopen,param_1,#5129ba
noip2,bulkUpgrade,write/fopen,param_1,#c81a0e
mldproxy,wscd,setsockopt/getsockname,param_1,#7ea56e
mldproxy,wscd,setsockopt/shutdown,param_1,#7ea56e
signalc,smbd,setsockopt/getsockname,iVar1,#38e2b0
6tunnel,set_factory,write/read,__fd,#fdced5
6tunnel,set_factory,write/lseek,__fd,#fdced5
set_factory,6tunnel,write/read,__fd,#fdced5
rdnssd,mini_httpd,setsockopt/listen,__fd,#f6f079
rdnssd,mini_httpd,setsockopt/bind,__fd,#f6f079
