Firmware Name,Binary Name,Component Name,Component Version
dlink_DIR-826LA1,6tunnel,6tunnel,0.11rc1
dlink_DIR-826LA1,ated,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,bulkUpgrade,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,busybox,busybox,1_12_1
dlink_DIR-826LA1,busybox,ios_system,2.7
dlink_DIR-826LA1,busybox,iproute2,v2.6.34
dlink_DIR-826LA1,busybox,libarchive,none
dlink_DIR-826LA1,dhcp6c,none,none
dlink_DIR-826LA1,dhcp6s,none,none
dlink_DIR-826LA1,disktype,cloverbootloader,5071
dlink_DIR-826LA1,ds,iproute2,v2.6.37
dlink_DIR-826LA1,flash,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,fwUpgrade,glibc,cvs/ChangeLog
dlink_DIR-826LA1,fwUpgrade,xv6-public,xv6-2006
dlink_DIR-826LA1,gpio,none,none
dlink_DIR-826LA1,igmpproxy,igmpproxy,0.1-beta2
dlink_DIR-826LA1,ip6tables,none,none
dlink_DIR-826LA1,iptables,iproute2,v5.14.0
dlink_DIR-826LA1,iptables,iptables,v1.4.10
dlink_DIR-826LA1,iwconfig,batphone,0.07.RC1
dlink_DIR-826LA1,iwevent,batphone,0.07
dlink_DIR-826LA1,iwpriv,gcc,releases/egcs-1.0.0
dlink_DIR-826LA1,lld2d,none,none
dlink_DIR-826LA1,llmnr,gcc,releases/egcs-1.0.0
dlink_DIR-826LA1,mii_mgr,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,miniupnpd,iptables,v1.4.10
dlink_DIR-826LA1,miniupnpd,minidlna,v1_0_22
dlink_DIR-826LA1,miniupnpd,miniupnp,miniupnpc_1_8
dlink_DIR-826LA1,mlabel,minix,v3.1.0
dlink_DIR-826LA1,mlabel,mtools,3.9.11
dlink_DIR-826LA1,modeSelectd,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,mtd_write,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,mtools,minix,v3.1.0
dlink_DIR-826LA1,mtools,mtools,3.9.11
dlink_DIR-826LA1,openssl,openssl,OpenSSL_0_9_8e
dlink_DIR-826LA1,pppd,dragonflybsd,v2.0.1
dlink_DIR-826LA1,pppd,freebsd-src,release/6.3.0
dlink_DIR-826LA1,pppd,lwip,master_at_STABLE-2_0_0
dlink_DIR-826LA1,pppd,ppp,2.4.4
dlink_DIR-826LA1,pppd,rtems,4.9.0
dlink_DIR-826LA1,pppoe-discovery,none,none
dlink_DIR-826LA1,pppoe-relay,none,none
dlink_DIR-826LA1,pppoe-server,mimedefang,2.85-rc1
dlink_DIR-826LA1,reg,gcc,releases/egcs-1.0.1
dlink_DIR-826LA1,resetd,gcc,releases/egcs-1.0.0
dlink_DIR-826LA1,routed,freebsd-src,release/2.2.5
dlink_DIR-826LA1,rt2860apd,openwrt-hc5x61,BB-2015-07-20
dlink_DIR-826LA1,switch,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,tc,iproute2,v2.6.37
dlink_DIR-826LA1,tc,iproute2,aml_adb_331011040
dlink_DIR-826LA1,uenv,gcc,releases/egcs-1.0.1
dlink_DIR-826LA1,upnpc,miniupnp,minissdpd_1_2
dlink_DIR-826LA1,upnpc,miniupnpc,debian/1.6-3
dlink_DIR-826LA1,usbmount2,none,none
dlink_DIR-826LA1,wakeOnLanProxy,none,none
dlink_DIR-826LA1,wps_daemon,none,none
dlink_DIR-826LA1,wscd,libupnp,release-1.6.18
dlink_DIR-826LA1,usbstorage.hotplug,none,none
dlink_DIR-826LA1,app_sync,none,none
dlink_DIR-826LA1,bridge_wan,gcc,releases/egcs-1.0.1
dlink_DIR-826LA1,bulkagent,none,none
dlink_DIR-826LA1,clink,odb-api,upstream/0.17.1
dlink_DIR-826LA1,dhcp_discover,busybox,1_00_pre6
dlink_DIR-826LA1,dnsmasq,dnsmasq,v2.41
dlink_DIR-826LA1,dnsTest,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,drws,none,none
dlink_DIR-826LA1,dumpleases,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,lang_merge,none,none
dlink_DIR-826LA1,lanmapd,none,none
dlink_DIR-826LA1,mailsend,mailsend,1.17b14
dlink_DIR-826LA1,mdb,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,mDNSResponderPosix,openssl,BEFORE_COMPAQ_PATCH
dlink_DIR-826LA1,mDNSResponderPosix,owntone-server,mt-daapd_svn1696
dlink_DIR-826LA1,mDNSResponderPosix,rxdnssd,0.7.0
dlink_DIR-826LA1,minidlna,ffmpeg,n0.11.3
dlink_DIR-826LA1,minidlna,flac,1.2.1
dlink_DIR-826LA1,minidlna,libav,v0.7
dlink_DIR-826LA1,minidlna,libexif,libexif-0_6_21-release
dlink_DIR-826LA1,minidlna,libid3tag,7929736
dlink_DIR-826LA1,minidlna,libjpeg,8c
dlink_DIR-826LA1,minidlna,libjpeg-turbo,1.4.90
dlink_DIR-826LA1,minidlna,minidlna,v1_0_25
dlink_DIR-826LA1,minidlna,mozjpeg,v1.0
dlink_DIR-826LA1,minidlna,ogg,v1.2.1
dlink_DIR-826LA1,minidlna,sqlite,version-3.7.7
dlink_DIR-826LA1,minidlna,vorbis,v1.3.5
dlink_DIR-826LA1,mini_httpd,incubator-nuttx,nuttx-4.10
dlink_DIR-826LA1,mldproxy,smcroute,0.94
dlink_DIR-826LA1,mpd,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,ncc,lwip,STABLE-2_0_0_RC1
dlink_DIR-826LA1,ncc,mynewt-core,mynewt_1_6_0_rc1_tag
dlink_DIR-826LA1,ncc,radvd,v0.7.3
dlink_DIR-826LA1,ncc,tpm2-tss,3.0.0
dlink_DIR-826LA1,noip2,none,none
dlink_DIR-826LA1,ntfs-3g,fuse,fuse_2_7_5
dlink_DIR-826LA1,ntfs-3g,ntfs-3g,v2012_1_15
dlink_DIR-826LA1,ntpclient,none,none
dlink_DIR-826LA1,openl2tpd,gdb,none
dlink_DIR-826LA1,openl2tpd,l2tpns,debian/2.0.22-1
dlink_DIR-826LA1,openl2tpd,xl2tpd,debian/1.3.10-1
dlink_DIR-826LA1,pppListener,none,none
dlink_DIR-826LA1,proxy,none,none
dlink_DIR-826LA1,radvd,radvd,v1.8.3
dlink_DIR-826LA1,rdnssd,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,rdnssd,ndisc6,v0.9.9
dlink_DIR-826LA1,set_factory,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,signalc,lcdproc,v0.5.7
dlink_DIR-826LA1,smbd,samba,samba-3.0.23d
dlink_DIR-826LA1,smbd,sqlite,version-3.6.10
dlink_DIR-826LA1,smbd,systemd,037
dlink_DIR-826LA1,smbpasswd,samba,samba-3.0.23pre1
dlink_DIR-826LA1,smbpasswd,squid,SQUID_3_2_0_1
dlink_DIR-826LA1,tsa,wiiflow_lite,v4.4.0-r1161
dlink_DIR-826LA1,udhcpc,none,none
dlink_DIR-826LA1,udhcpd,busybox,1_14_0
dlink_DIR-826LA1,ult,none,none
dlink_DIR-826LA1,wan_led_blink,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,watchdog,gcc,prereleases/egcs-1.0.1-prerelease
dlink_DIR-826LA1,hotplugd,none,none
dlink_DIR-826LA1,jcpd,none,none
dlink_DIR-826LA1,sxstoragemanager,none,none
